"Language","original","english","czech",
"STR_CraftACOGOptic","Craft ATOG 4x32 scope","Craft ATOG 4x32 scope","Vyrobit optiku ATOG 4x32",
"STR_CraftAK_Suppressor","Craft normalized suppressor","Craft normalized suppressor","Vyrobit normalizovaný tlumič",
"STR_CraftAmmoBox","Craft ammo box","Craft ammo box","Vyrobit muniční bednu",
"STR_CraftAntiChemInjector","Craft PO-X antidote","Craft PO-X antidote","Vyrobit protilátku PO-X",
"STR_CraftBandage","Craft bandage","Craft bandage","Vyrobit obvaz",
"STR_CraftBarbedWire","Craft barbed wire","Craft barbed wire","Vyrobit ostnatý drát",
"STR_CraftBarrel_Blue","Craft blue oil barrel","Craft blue oil barrel","Vyrobit modrý barel",
"STR_CraftBarrel_Green","Craft green oil barrel","Craft green oil barrel","Vyrobit zelený barel",
"STR_CraftBarrel_Red","Craft red oil barrel","Craft red oil barrel","Vyrobit červený barel",
"STR_CraftBarrel_Yellow","Craft yellow oil barrel","Craft yellow oil barrel","Vyrobit žlutý barel",
"STR_CraftBattery9V","Craft 9V battery","Craft 9V battery","Vyrobit 9V baterii",
"STR_CraftBearTrap","Craft bear trap","Craft bear trap","Vyrobit past na medvědy",
"STR_CraftBlowtorch","Craft blowtorch","Craft blowtorch","Vyrobit svářečku",
"STR_CraftCamonet","Craft camo net","Craft camo net","Vyrobit maskovací síť",
"STR_CraftCanisterGasoline","Craft jerrycan","Craft jerrycan","Vyrobit kanystr",
"STR_CraftCanteen","Craft canteen","Craft canteen","Vyrobit čutoru",
"STR_CraftCivilianBelt","Craft belt","Craft belt","Vyrobit opasek",
"STR_CraftCombinationLock","Craft 3-dial combination lock","Craft 3-dial combination lock","Vyrobit kombinační zámek na trojciferný kód",
"STR_CraftCombinationLock4","Craft 4-dial combination lock","Craft 4-dial combination lock","Vyrobit kombinační zámek na čtyřciferný kód",
"STR_CraftDuctTape","Craft duct tape","Craft duct tape","Vyrobit izolační pásku",
"STR_CraftElectronicRepairKit","Craft electrical repair kit","Craft electrical repair kit","Vyrobit elektrikářskou sadu",
"STR_CraftFarmingHoe","Craft farming hoe","Craft farming hoe","Vyrobit motyku",
"STR_CraftFieldShovel","Craft field shovel","Craft field shovel","Vyrobit polní lopatku",
"STR_CraftFishingHooks","Craft fishing hooks","Craft fishing hooks","Vyrobit rybářské háčky",
"STR_CraftFryingPan","Craft frying pan","Craft frying pan","Vyrobit pánev",
"STR_CraftGPSReceiver","Craft GPS receiver","Craft GPS receiver","Vyrobit GPS přijímač",
"STR_CraftGlowPlug","Craft glow plug","Craft glow plug","Vyrobit žhavicí svíčku",
"STR_CraftHammer","Craft hammer","Craft hammer","Vyrobit kladivo",
"STR_CraftHatchet","Craft hatchet","Craft hatchet","Vyrobit sekyrku",
"STR_CraftHeadtorch","Craft head torch","Craft head torch","Vyrobit čelovku",
"STR_CraftLeatherSewingKit","Craft leather sewing kit","Craft leather sewing kit","Vyrobit šitíčko na kůži",
"STR_CraftM4_Suppressor","Craft standardized suppressor","Craft standardized suppressor","Vyrobit standardní tlumič",
"STR_CraftMetalPlate","Craft sheet metal","Craft sheet metal","Vyrobit plechový plát",
"STR_CraftMilitaryBelt","Craft tactical belt","Craft tactical belt","Vyrobit taktický opasek",
"STR_CraftMiniSights","Craft mini sights","Craft mini sights","Vyrobit mini optiku",
"STR_CraftNVGHeadstrap","Craft NVG headstrap","Craft NVG headstrap","Vyrobit hlavový popruh na noktovizor",
"STR_CraftNVGoggles","Craft night vision goggles","Craft night vision goggles","Vyrobit noktovizor",
"STR_CraftNails","Craft nails","Craft nails","Vyrobit hřebíky",
"STR_CraftNetting","Craft netting","Craft netting","Vyrobit síťovinu",
"STR_CraftNylonKnifeSheath","Craft sheath","Craft sheath","Vyrobit pouzdro na nůž",
"STR_CraftPickaxe","Craft pickaxe","Craft pickaxe","Vyrobit krumpáč",
"STR_CraftPipe","Craft pipe","Craft pipe","Vyrobit trubku",
"STR_CraftPistolSuppressor","Craft pistol suppressor","Craft pistol suppressor","Vyrobit pistolový tlumič",
"STR_CraftPlateCarrierHolster","Craft holster","Craft holster","Vyrobit pistolové pouzdro",
"STR_CraftPot","Craft cooking pot","Craft cooking pot","Vyrobit hrnec",
"STR_CraftPurificationTablets","Craft chlorine tablets","Craft chlorine tablets","Vyrobit chlórové tablety",
"STR_CraftRemoteDetonator","Craft remote detonation unit","Craft remote detonation unit","Vyrobit dálkovou odpalovací jednotku",
"STR_CraftSeaChest","Craft sea chest","Craft sea chest","Vyrobit námořní truhlu",
"STR_CraftSewingKit","Craft sewing kit","Craft sewing kit","Vyrobit šitíčko",
"STR_CraftSledgehammer","Craft sledgehammer","Craft sledgehammer","Vyrobit perlík",
"STR_CraftSmallProtectorCase","Craft protective case","Craft protective case","Vyrobit ochranný kufřík",
"STR_CraftSparkPlug","Craft spark plug","Craft spark plug","Vyrobit zapalovací svíčku",
"STR_CraftTLRLight","Craft pistol flashlight","Craft pistol flashlight","Vyrobit pistolovou svítilnu",
"STR_CraftTruckBattery","Craft truck battery","Craft truck battery","Vyrobit baterii do náklaďáku",
"STR_CraftUniversalLight","Craft universal flashlight","Craft universal flashlight","Vyrobit univerzální svítilnu",
"STR_CraftWhetstone","Craft sharpening stone","Craft sharpening stone","Vyrobit brousek",
"STR_RepairCanOpener","Repair can opener","Repair can opener","Opravit otvírák na konzervy",
"STR_RepairCarRadiator","Repair car radiator","Repair car radiator","Opravit automobilový chladič",
"STR_RepairFieldShovel","Repair field shovel","Repair field shovel","Opravit polní lopatku",
"STR_RepairGasMask_Filter","Repair gas mask filter","Repair gas mask filter","Opravit filtr do plynové masky",
"STR_RepairHammer","Repair hammer","Repair hammer","Opravit kladivo",
"STR_RepairPipeWrench","Repair pipe wrench","Repair pipe wrench","Opravit hasák",
"STR_RepairPliers","Repair pliers","Repair pliers","Opravit kleště",
"STR_RepairShovel","Repair shovel","Repair shovel","Opravit lopatu",
"STR_RepairSledgeHammer","Repair sledgehammer","Repair sledgehammer","Opravit perlík",

